year,ic,shortName,longName,penizefo_url,bupfo_url,penizepo_url,buppo_url
2021,71339612,Svobodní,Svobodní,https://zpravy.udh.gov.cz/export/vfz2021-svobodni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2021-svobodni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2021-svobodni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2021-svobodni-buppo.json
2021,71339728,TOP 09,TOP 09,https://zpravy.udh.gov.cz/export/vfz2021-top09-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2021-top09-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2021-top09-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2021-top09-buppo.json
2021,00409740,Zelení,Strana zelených,https://zpravy.udh.gov.cz/export/vfz2021-zeleni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2021-zeleni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2021-zeleni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2021-zeleni-buppo.json
2022,05402450,ABP,Aliance pro budoucnost,https://zpravy.udh.gov.cz/export/vfz2022-oda-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-oda-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-oda-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-oda-buppo.json
2022,71443339,ANO,ANO 2011,https://zpravy.udh.gov.cz/export/vfz2022-ano-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-ano-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-ano-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-ano-buppo.json
2022,05989175,AUTO,Motoristé sobě,https://zpravy.udh.gov.cz/export/vfz2022-referendumeu-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-referendumeu-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-referendumeu-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-referendumeu-buppo.json
2022,00442704,KDU-ČSL,KDU-ČSL,https://zpravy.udh.gov.cz/export/vfz2022-kducsl-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-kducsl-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-kducsl-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-kducsl-buppo.json
2022,00496936,KSČM,Komunistická strana Čech a Moravy,https://zpravy.udh.gov.cz/export/vfz2022-kscm-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-kscm-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-kscm-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-kscm-buppo.json
2022,16192656,ODS,Občanská demokratická strana,https://zpravy.udh.gov.cz/export/vfz2022-ods-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-ods-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-ods-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-ods-buppo.json
2022,71339698,Piráti,Česká pirátská strana,https://zpravy.udh.gov.cz/export/vfz2022-pirati-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-pirati-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-pirati-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-pirati-buppo.json
2022,10742409,PŘÍSAHA,PŘÍSAHA občanské hnutí,https://zpravy.udh.gov.cz/export/vfz2022-prisaha-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-prisaha-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-prisaha-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-prisaha-buppo.json
2022,00409171,SOCDEM,Sociální demokracie,https://zpravy.udh.gov.cz/export/vfz2022-cssd-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-cssd-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-cssd-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-cssd-buppo.json
2022,26673908,STAN,STAROSTOVÉ A NEZÁVISLÍ,https://zpravy.udh.gov.cz/export/vfz2022-stan-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-stan-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-stan-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-stan-buppo.json
2022,71339612,Svobodní,Svobodní,https://zpravy.udh.gov.cz/export/vfz2022-svobodni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-svobodni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-svobodni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-svobodni-buppo.json
2022,71339728,TOP 09,TOP 09,https://zpravy.udh.gov.cz/export/vfz2022-top09-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2022-top09-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2022-top09-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2022-top09-buppo.json
